iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
PHL,Asia,Philippines,2021-09-02,2020484.0,16529.0,17326.286,33680.0,147.0,136.0,18194.869,148.847,156.027,303.295,1.324,1.225,1.19,,,,,,,,,47332.0,17545425.0,158.0,0.426,63883.0,0.575,0.256,3.9,people tested,34112320.0,,14109916.0,,406025.0,382696.0,30.72,,12.71,,3446.0,74.54,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,
POL,Europe,Poland,2021-09-02,2889412.0,376.0,275.286,75367.0,9.0,5.0,76445.538,9.948,7.283,1993.994,0.238,0.132,1.18,,,403.0,10.662,,,,,37477.0,19193365.0,507.801,0.992,37199.0,0.984,0.005,185.2,people tested,36335572.0,19307400.0,18821841.0,,48958.0,50048.0,96.13,51.08,49.8,,1324.0,38.89,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,
PRT,Europe,Portugal,2021-09-02,1042322.0,2830.0,1985.857,17766.0,9.0,11.0,102510.808,278.326,195.306,1747.259,0.885,1.082,0.95,148.0,14.556,698.0,68.647,,,92.832,9.13,40182.0,16942769.0,1666.296,3.952,50326.0,4.949,0.044,22.7,tests performed,14824334.0,8682752.0,7661241.0,,54114.0,56513.0,145.8,85.39,75.35,,5558.0,52.78,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
QAT,Asia,Qatar,2021-09-02,233087.0,177.0,185.0,602.0,0.0,0.143,79537.653,60.399,63.129,205.424,0.0,0.049,0.86,,,,,,,,,5790.0,2497975.0,852.399,1.976,5629.0,1.921,0.037,27.3,people tested,4479962.0,2327768.0,2152194.0,,25561.0,23596.0,152.87,79.43,73.44,,8052.0,,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
ROU,Europe,Romania,2021-09-02,1101678.0,1470.0,1107.714,34617.0,26.0,20.857,57595.73,76.852,57.911,1809.777,1.359,1.09,1.48,269.0,14.063,,,,,880.742,46.045,,9092422.0,475.352,,13769.0,0.72,0.062,16.2,tests performed,9782320.0,5254173.0,5143110.0,,11004.0,10675.0,51.14,27.47,26.89,,558.0,,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,
RUS,Europe,Russia,2021-09-02,6857243.0,18591.0,18363.429,181560.0,779.0,776.143,46995.737,127.412,125.853,1244.311,5.339,5.319,0.94,,,,,,,,,,178771940.0,1225.204,,406324.0,2.785,0.046,21.7,tests performed,81609406.0,44148776.0,37460630.0,,383387.0,454005.0,55.93,30.26,25.67,,3111.0,52.31,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,
RWA,Africa,Rwanda,2021-09-02,88682.0,485.0,497.286,1105.0,8.0,7.0,6679.613,36.531,37.456,83.23,0.603,0.527,0.94,,,,,,,,,23042.0,2426222.0,182.745,1.736,16041.0,1.208,0.032,31.1,samples tested,2174283.0,1513881.0,660402.0,,55170.0,100125.0,16.38,11.4,4.97,,7542.0,54.63,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,
KNA,North America,Saint Kitts and Nevis,2021-09-02,1148.0,27.0,27.571,4.0,1.0,0.143,21439.51,504.239,514.911,74.702,18.676,2.668,1.32,,,,,,,,,251.0,30689.0,573.133,4.688,258.0,4.818,0.127,7.9,people tested,45980.0,24266.0,21714.0,,,131.0,85.87,45.32,40.55,,2446.0,,53546.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,
LCA,North America,Saint Lucia,2021-09-02,8542.0,220.0,118.429,108.0,2.0,1.0,46322.959,1193.052,642.234,585.68,10.846,5.423,1.43,,,,,,,,,,,,,,,,,,64523.0,36750.0,27773.0,,508.0,359.0,34.99,19.93,15.06,,1947.0,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,
VCT,North America,Saint Vincent and the Grenadines,2021-09-02,2355.0,7.0,4.857,12.0,0.0,0.0,21164.925,62.911,43.652,107.847,0.0,0.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,
WSM,Oceania,Samoa,2021-09-02,3.0,0.0,0.0,,,0.0,14.989,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,124960.0,87436.0,37524.0,,,1959.0,62.44,43.69,18.75,,9788.0,,200144.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,
SMR,Europe,San Marino,2021-09-02,5345.0,14.0,5.714,90.0,0.0,0.0,157159.659,411.644,168.018,2646.281,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,46556.0,23975.0,23975.0,,8.0,10.0,136.89,70.49,70.49,,294.0,38.89,34010.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
STP,Africa,Sao Tome and Principe,2021-09-02,2634.0,7.0,9.143,37.0,0.0,0.0,11792.411,31.339,40.933,165.649,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,46349.0,34468.0,11881.0,,,148.0,20.75,15.43,5.32,,663.0,,223364.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,
SAU,Asia,Saudi Arabia,2021-09-02,543318.0,0.0,189.143,8512.0,0.0,4.429,15373.728,0.0,5.352,240.856,0.0,0.125,0.58,,,,,,,,,61961.0,27445781.0,776.606,1.753,59498.0,1.684,0.003,314.6,tests performed,37593149.0,22330852.0,15262297.0,,240996.0,295596.0,106.37,63.19,43.19,,8364.0,55.56,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,
SEN,Africa,Senegal,2021-09-02,72977.0,57.0,94.571,1780.0,6.0,9.0,4243.76,3.315,5.5,103.511,0.349,0.523,0.52,,,,,,,,,2286.0,750135.0,43.622,0.133,2563.0,0.149,0.041,24.3,tests performed,1732362.0,1167364.0,564998.0,,,2830.0,10.07,6.79,3.29,,165.0,26.85,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,
SRB,Europe,Serbia,2021-09-02,769803.0,3524.0,2665.143,7322.0,15.0,11.714,113129.861,517.885,391.668,1076.037,2.204,1.722,1.37,,,,,,,,,12740.0,5009861.0,736.247,1.872,13491.0,1.983,0.167,6.0,people tested,5934117.0,2931512.0,2810921.0,191684.0,31808.0,22103.0,87.21,43.08,41.31,2.82,3248.0,,6804596.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,
SYC,Africa,Seychelles,2021-09-02,20128.0,0.0,46.0,102.0,0.0,0.0,203498.13,0.0,465.069,1031.241,0.0,0.0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,98910.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,
SLE,Africa,Sierra Leone,2021-09-02,6369.0,1.0,0.857,121.0,0.0,0.0,782.303,0.123,0.105,14.862,0.0,0.0,0.72,,,,,,,,,,,,,,,,,,193557.0,159793.0,33764.0,,,1415.0,2.38,1.96,0.41,,174.0,45.37,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,
SGP,Asia,Singapore,2021-09-02,67991.0,191.0,151.857,55.0,0.0,0.429,11530.379,32.391,25.753,9.327,0.0,0.073,1.79,,,,,,,,,,17773017.0,3014.07,,62073.0,10.527,0.002,492.1,samples tested,8903991.0,4604828.0,4438388.0,,13274.0,15416.0,151.0,78.09,75.27,,2614.0,47.22,5896684.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SXM,North America,Sint Maarten (Dutch part),2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48042.0,25161.0,22881.0,,,58.0,110.64,57.95,52.7,,1336.0,,43421.0,1209.088,,,,36327.232,,,,,,,,78.95,,
SVK,Europe,Slovakia,2021-09-02,395300.0,178.0,122.0,12548.0,0.0,0.143,72389.642,32.596,22.341,2297.863,0.0,0.026,1.22,,,66.0,12.086,,,7.004,1.283,11454.0,41080691.0,7522.936,2.098,15865.0,2.905,0.009,111.1,tests performed,4570556.0,2393402.0,2177154.0,,0.0,9501.0,83.7,43.83,39.87,,1740.0,23.61,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVN,Europe,Slovenia,2021-09-02,268636.0,674.0,496.714,4453.0,3.0,1.286,129231.264,324.238,238.952,2142.181,1.443,0.619,1.31,23.0,11.064,129.0,62.057,18.845,9.065,135.88,65.367,2916.0,1447117.0,696.157,1.403,2428.0,1.168,0.18,5.6,tests performed,1910719.0,998476.0,912243.0,,7628.0,4489.0,91.92,48.03,43.88,,2159.0,35.19,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,
SLB,Oceania,Solomon Islands,2021-09-02,20.0,0.0,0.0,,,0.0,28.409,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,
SOM,Africa,Somalia,2021-09-02,17630.0,164.0,87.714,992.0,15.0,7.714,1077.661,10.025,5.362,60.638,0.917,0.472,1.31,,,,,,,,,,,,,,,,,,295107.0,197682.0,97425.0,,,1256.0,1.8,1.21,0.6,,77.0,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,
ZAF,Africa,South Africa,2021-09-02,2796405.0,9202.0,8776.0,82914.0,418.0,298.286,46574.151,153.259,146.164,1380.933,6.962,4.968,0.88,,,,,,,,,132360.0,16228941.0,270.293,2.204,68058.0,1.134,0.175,5.7,people tested,13112268.0,9741655.0,6301758.0,,270731.0,210036.0,21.84,16.22,10.5,,3498.0,51.85,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,
OWID_SAM,,South America,2021-09-02,36962059.0,39850.0,32550.0,1132620.0,1298.0,1006.571,85115.017,91.765,74.955,2608.16,2.989,2.318,,,,,,,,,,,,,,,,,,,367648032.0,239329291.0,134761358.0,2108363.0,480929.0,3134740.0,84.66,55.11,31.03,0.49,7219.0,,434260138.0,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2021-09-02,257110.0,1709.0,1707.429,2308.0,5.0,6.143,5011.384,33.31,33.28,44.986,0.097,0.12,0.99,,,,,,,,,60600.0,12343477.0,240.589,1.181,40939.0,0.798,0.044,22.9,people tested,45188034.0,29644464.0,16783832.0,,666450.0,686532.0,88.08,57.78,32.71,,13381.0,50.93,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,
SSD,Africa,South Sudan,2021-09-02,11446.0,0.0,11.571,120.0,0.0,0.0,1005.678,0.0,1.017,10.544,0.0,0.0,1.04,,,,,,,,,,,,,,,,,,57150.0,52387.0,4763.0,,,4.0,0.5,0.46,0.04,,0.0,25.0,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,
ESP,Europe,Spain,2021-09-02,4871444.0,9561.0,7017.714,84640.0,168.0,111.286,104212.686,204.534,150.127,1810.667,3.594,2.381,0.74,1818.0,38.892,8166.0,174.692,46.417,0.993,891.794,19.078,,,,,,,,,,66464730.0,36613696.0,33657941.0,,334510.0,250033.0,142.19,78.33,72.0,,5349.0,47.69,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,
LKA,Asia,Sri Lanka,2021-09-02,447757.0,3627.0,5055.286,9604.0,204.0,206.714,20828.517,168.719,235.159,446.754,9.49,9.616,1.21,,,,,,,,,13696.0,4961916.0,230.816,0.637,15738.0,0.732,0.379,2.6,tests performed,21146303.0,12564209.0,8582094.0,,508122.0,400633.0,98.37,58.45,39.92,,18636.0,86.11,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,
SDN,Africa,Sudan,2021-09-02,37711.0,2.0,1.857,2837.0,0.0,0.857,839.714,0.045,0.041,63.172,0.0,0.019,0.46,,,,,,,,,,,,,,,,,,829682.0,643569.0,186113.0,,,156.0,1.85,1.43,0.41,,3.0,,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,
SUR,South America,Suriname,2021-09-02,29921.0,322.0,241.857,730.0,5.0,3.286,50559.481,544.105,408.682,1233.529,8.449,5.552,1.37,,,,,,,,,,,,,,,,,,342767.0,203858.0,138909.0,,2744.0,3279.0,57.92,34.45,23.47,,5541.0,83.33,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,
